x,y,z
[0.87584894 1.15112459 2.68610948],[1.08562162 1.13023103 2.80683229],[1.03081901 1.94077253 1.10300221]
[0.87500068 1.15267864 2.68606107],[1.08626539 1.13055906 2.80754673],[1.02742077 1.94500854 1.1040116 ]
[0.87412679 1.15425892 2.68601207],[1.08690529 1.13089155 2.80826056],[1.0239369  1.94933003 1.10502116]
[0.87323427 1.15585842 2.68596248],[1.0875425  1.13122736 2.80897378],[1.02039059 1.95371379 1.10603087]
[0.87232922 1.15747104 2.6859123 ],[1.08817799 1.13156548 2.8096864 ],[1.01680196 1.95813972 1.10704074]
[0.87141685 1.15909156 2.68586153],[1.0888126  1.13190509 2.81039842],[1.01318825 1.96259057 1.10805077]
[0.8705016  1.16071555 2.68581017],[1.089447   1.13224551 2.81110983],[1.00956413 1.96705168 1.10906095]
[0.86958722 1.16233927 2.68575823],[1.09008175 1.13258619 2.81182064],[1.00594194 1.9715107  1.11007129]
[0.86867683 1.16395957 2.6857057 ],[1.0907173  1.13292665 2.81253085],[1.00233203 1.97595728 1.11108178]
[0.86777304 1.16557386 2.68565259],[1.09135403 1.13326655 2.81324046],[0.99874296 1.98038287 1.11209243]
[0.86687799 1.16717999 2.6855989 ],[1.0919922  1.13360559 2.81394947],[0.9951818  1.9847804  1.11310324]
[0.86599342 1.16877621 2.68554463],[1.09263206 1.13394356 2.81465789],[0.99165429 1.98914412 1.11411419]
[0.86512075 1.17036112 2.68548978],[1.09327376 1.13428027 2.81536571],[0.98816507 1.99346938 1.11512531]
[0.8642611  1.17193358 2.68543435],[1.09391744 1.1346156  2.81607294],[0.98471785 1.99775251 1.11613658]
[0.86341535 1.17349271 2.68537835],[1.09456318 1.13494946 2.81677957],[0.98131552 2.00199058 1.117148  ]
[0.86258419 1.17503784 2.68532178],[1.09521105 1.13528178 2.8174856 ],[0.97796031 2.00618138 1.11815958]
[0.86176812 1.17656844 2.68526463],[1.09586108 1.13561254 2.81819105],[0.97465388 2.01032325 1.11917131]
[0.86096751 1.17808416 2.68520691],[1.09651328 1.13594172 2.81889591],[0.97139744 2.01441498 1.12018319]
[0.86018261 1.17958474 2.68514862],[1.09716766 1.1362693  2.81960017],[0.96819176 2.01845578 1.12119523]
[0.85941356 1.18107003 2.68508976],[1.09782421 1.13659531 2.82030385],[0.96503734 2.02244518 1.12220742]
[0.85866042 1.18253999 2.68503033],[1.0984829  1.13691977 2.82100694],[0.96193436 2.02638298 1.12321977]
[0.85792319 1.18399459 2.68497033],[1.0991437  1.1372427  2.82170945],[0.9588828  2.03026921 1.12423227]
[0.85720182 1.18543391 2.68490977],[1.09980658 1.13756413 2.82241136],[0.95588246 2.03410407 1.12524492]
[0.85649619 1.18685805 2.68484865],[1.10047149 1.13788412 2.8231127 ],[0.95293298 2.03788792 1.12625772]
[0.85580616 1.18826715 2.68478697],[1.1011384  1.1382027  2.82381345],[0.95003387 2.04162124 1.12727068]
[0.85513156 1.18966138 2.68472472],[1.10180725 1.13851992 2.82451361],[0.94718456 2.04530461 1.12828378]
[0.8544722  1.19104094 2.68466191],[1.10247799 1.13883582 2.8252132 ],[0.94438441 2.04893868 1.12929704]
[0.85382785 1.19240604 2.68459854],[1.10315058 1.13915046 2.82591221],[0.94163268 2.05252416 1.13031045]
[0.85319829 1.19375691 2.68453462],[1.10382497 1.13946388 2.82661063],[0.93892862 2.05606182 1.13132401]
[0.85258329 1.19509378 2.68447014],[1.1045011  1.13977613 2.82730848],[0.93627145 2.05955246 1.13233773]
[0.85198258 1.19641691 2.6844051 ],[1.10517893 1.14008727 2.82800574],[0.93366032 2.06299688 1.13335159]
[0.85139592 1.19772655 2.68433951],[1.10585841 1.14039733 2.82870243],[0.93109441 2.06639595 1.13436561]
[0.85082306 1.19902295 2.68427336],[1.10653949 1.14070638 2.82939855],[0.92857287 2.06975049 1.13537977]
[0.85026373 1.20030636 2.68420666],[1.10722212 1.14101444 2.83009408],[0.92609486 2.07306136 1.13639409]
[0.84971768 1.20157705 2.68413941],[1.10790625 1.14132158 2.83078905],[0.92365951 2.07632941 1.13740855]
[0.84918465 1.20283526 2.68407161],[1.10859185 1.14162783 2.83148343],[0.92126598 2.07955549 1.13842317]
