x,y,z
[0.80062035 2.64102479],[0.79915104 1.73817881],[0.95077389 2.58304123]
[0.80071454 2.6420917 ],[0.79970568 1.73871612],[0.95084746 2.58343016]
[0.80080822 2.64315912],[0.80026006 1.73925369],[0.95092058 2.58381954]
[0.80090142 2.64422703],[0.80081419 1.73979152],[0.95099327 2.58420936]
[0.80099411 2.64529545],[0.80136806 1.74032959],[0.95106551 2.58459962]
[0.8010863  2.64636436],[0.80192168 1.74086792],[0.95113731 2.58499032]
[0.801178   2.64743377],[0.80247505 1.7414065 ],[0.95120867 2.58538146]
[0.80126921 2.64850367],[0.80302817 1.74194534],[0.9512796  2.58577304]
[0.80135992 2.64957406],[0.80358104 1.74248442],[0.95135009 2.58616506]
[0.80145014 2.65064495],[0.80413365 1.74302376],[0.95142014 2.58655751]
[0.80153986 2.65171634],[0.80468602 1.74356334],[0.95148975 2.5869504 ]
[0.8016291  2.65278821],[0.80523813 1.74410318],[0.95155894 2.58734373]
